house_id,timestamp,ac_1_mean,ac_1_max,ac_1_min,ac_1_std,is_on_sum,is_on_mean,P_agg_mean,P_agg_max,external_temperature_mean,internal_temperature_mean,external_humidity_mean,internal_humidity_mean,V_mean,A_mean,hour,day_of_week,is_weekend,month,season,time_period,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,rolling_mean_6h,rolling_std_6h,rolling_mean_24h,diff_1h,diff_24h
1,2022-07-17 16:00:00,2.8357111111111113,2.891,2.766,0.024254336863759163,0,0.0,102.27953055555555,103.131,31.4525,31.1,36.125,34.0,233.1863611111111,0.5868583333333333,16,6,1,7,2,2,2.849375,2.8396055555555555,2.8223694444444445,2.7995722222222224,2.888622222222222,2.9021805555555558,2.824879166666667,0.02047516553142311,2.870157291666667,-0.01366388888888892,-0.06646944444444447
1,2022-07-17 17:00:00,2.8392028571428574,2.923,2.756,0.046917552422709334,0,0.0,2049.4036142857144,4316.805,30.129714285714286,30.92485714285714,38.75714285714286,33.494285714285716,233.34980285714286,8.918965714285713,17,6,1,7,2,2,2.8357111111111113,2.849375,2.8396055555555555,2.7975444444444446,2.87185,2.924030555555556,2.8318222354497355,0.01590538187425321,2.8666228042328044,0.003491746031746068,-0.08482769841269855
1,2022-07-17 18:00:00,2.850544444444444,2.91,2.762,0.03643696770162647,0,0.0,116.3437388888889,129.675,29.015,30.775,40.375,34.5,233.7975972222222,0.6289777777777777,18,6,1,7,2,2,2.8392028571428574,2.8357111111111113,2.849375,2.8046694444444444,2.8436777777777777,2.925230555555556,2.8394680687830687,0.010270348669126158,2.8635108829365077,0.011341587301586742,-0.07468611111111167
1,2022-07-17 19:00:00,107.68560555555555,1116.73,2.775,314.95243695648725,36,0.1,367.43665,2287.591,28.63375,30.625,41.0,34.25,233.6424722222222,1.8252555555555554,19,6,1,7,2,3,2.850544444444444,2.8392028571428574,2.8357111111111113,2.8223694444444445,2.7942694444444447,2.924236111111111,20.31667408730159,42.80186070639947,7.228567943121693,104.83506111111112,104.76136944444444
1,2022-07-17 20:00:00,356.4661638888889,1229.593,2.651,541.7386363939288,107,0.2972222222222222,1748.0657416666668,4404.946,28.495,29.2,39.875,33.25,233.12155833333333,8.556475,20,6,1,7,2,3,107.68560555555555,2.850544444444444,2.8392028571428574,2.8396055555555555,2.8112555555555554,2.8725972222222222,79.2544338095238,142.13308611481554,21.961633220899472,248.78055833333335,353.5935666666667
1,2022-07-17 21:00:00,2.7331305555555554,2.773,2.684,0.015340595904294818,0,0.0,1034.030925,1452.886,28.311249999999998,28.9,37.625,29.25,234.42068055555558,4.765852777777777,21,6,1,7,2,3,356.4661638888889,107.68560555555555,2.850544444444444,2.849375,2.7918555555555553,2.8790638888888886,79.23505973544972,142.145591159542,21.955552665343916,-353.73303333333337,-0.14593333333333325
1,2022-07-17 22:00:00,2.756091666666667,2.805,2.715,0.018464599495802148,0,0.0,989.0608694444444,1001.949,27.9725,28.55,38.125,28.0,235.43948333333336,4.481319444444445,22,6,1,7,2,3,2.7331305555555554,356.4661638888889,107.68560555555555,2.8357111111111113,2.7995722222222224,2.903969444444445,79.22178982804233,142.15415327072114,21.949391091269842,0.022961111111111432,-0.147877777777778
1,2022-07-17 23:00:00,2.7842305555555553,2.822,2.752,0.013319082158738225,0,0.0,982.4753222222222,995.873,27.41,28.225,41.875,27.5,236.59109444444442,4.452547222222222,23,6,1,7,2,3,2.756091666666667,2.7331305555555554,356.4661638888889,2.8392028571428574,2.7975444444444446,2.921883333333333,79.21262777777777,142.1600624873859,21.943655558862435,0.02813888888888849,-0.13765277777777785
1,2022-07-25 20:00:00,2.8630166666666663,2.958,2.81,0.025313736128214154,0,0.0,104.06553333333332,105.219,28.365,32.0,47.375,34.5,234.29636944444445,0.5866611111111111,20,0,0,7,2,3,2.9259333333333335,2.92305,2.9021944444444445,2.902169444444444,2.784088888888889,2.8847444444444443,2.8982606481481485,0.0280411111741865,2.8641984780092593,-0.06291666666666718,-0.021727777777778012
1,2022-07-25 21:00:00,2.889730555555555,2.932,2.847,0.016762378612173504,0,0.0,104.0962,105.384,28.12875,32.0,47.25,34.0,235.30527222222221,0.5859944444444445,21,0,0,7,2,3,2.8630166666666663,2.9259333333333335,2.92305,2.8645555555555555,2.7663666666666664,2.9269527777777777,2.9024564814814813,0.023505823483604367,2.862647552083333,0.026713888888888704,-0.03722222222222271
1,2022-07-25 22:00:00,2.920902777777778,2.963,2.862,0.016425369095475952,0,0.0,104.65490277777778,105.903,27.623749999999998,32.0,46.375,34.0,236.6109888888889,0.5887138888888889,22,0,0,7,2,3,2.889730555555555,2.8630166666666663,2.9259333333333335,2.910813888888889,2.7494336111111113,2.9384166666666665,2.904137962962963,0.0245604315794892,2.861917806712963,0.031172222222223045,-0.017513888888888385
1,2022-07-25 23:00:00,653.1773853276353,1249.819,2.883,587.7806413795447,194,0.5527065527065527,1431.394925925926,2250.594,27.30364672364672,31.348148148148145,46.63176638176638,33.50712250712251,235.9114700854701,6.372509971509972,23,0,0,7,2,3,2.920902777777778,2.889730555555555,2.8630166666666663,2.9021944444444445,2.7944444444444443,2.956422222222222,111.28333644349478,265.4727840177964,29.954457936105175,650.2564825498575,650.220963105413
1,2022-07-26 00:00:00,1206.5225162241886,1238.096,1169.668,18.005332225873676,339,1.0,1868.3144513274337,2239.406,27.27631268436578,29.31858407079646,46.0,33.0,235.79616519174039,8.23470796460177,0,1,0,7,2,0,653.1773853276353,2.920902777777778,2.889730555555555,2.92305,2.8338555555555556,2.9420611111111112,311.88324748085955,509.65556185921815,80.10364356581674,553.3451308965533,1203.5804551130775
